Customer_ID,Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Churn,Churn_Prediction,Rish_Level
CUST001,790,3,28,0,0,Safe
CUST002,399,4,28,1,1,High Risk
CUST003,646,4,110,0,0,Safe
CUST004,113,3,21,0,0,Safe
CUST005,322,3,7,1,1,High Risk
CUST006,8,4,40,0,0,Safe
CUST007,436,1,3,1,1,High Risk
CUST008,973,3,20,0,0,Safe
CUST009,305,4,25,0,0,Safe
CUST010,26,4,35,0,0,Safe
CUST011,726,1,9,1,1,High Risk
CUST012,911,4,18,0,0,Safe
CUST013,1017,1,7,1,1,High Risk
CUST014,791,4,17,0,0,Safe
CUST015,599,4,46,0,0,Safe
CUST016,19,3,26,0,0,Safe
CUST017,691,1,1,1,1,High Risk
CUST018,496,1,11,1,1,High Risk
CUST019,691,4,32,1,1,High Risk
CUST020,8,4,57,0,0,Safe
CUST021,64,3,57,0,0,Safe
CUST022,922,3,27,0,0,Safe
CUST023,98,1,2,1,1,High Risk
CUST024,710,3,51,0,0,Safe
CUST025,152,4,38,0,0,Safe
CUST026,466,3,41,0,0,Safe
CUST027,366,1,2,1,1,High Risk
CUST028,747,3,10,1,1,High Risk
CUST029,892,3,13,1,1,High Risk
CUST030,1044,4,81,0,0,Safe
CUST031,112,3,8,1,1,High Risk
CUST032,330,1,8,1,1,High Risk
CUST033,440,3,1,1,1,High Risk
CUST034,1083,3,55,0,0,Safe
CUST035,801,4,23,0,0,Safe
CUST036,139,1,12,0,0,Safe
CUST037,968,3,47,0,0,Safe
CUST038,570,4,105,0,0,Safe
CUST039,383,3,39,0,0,Safe
CUST040,382,4,58,0,0,Safe
CUST041,917,1,12,1,1,High Risk
CUST042,835,3,6,1,1,High Risk
CUST043,506,1,4,1,1,High Risk
CUST044,575,4,68,0,0,Safe
CUST045,446,3,15,1,0,Safe
CUST046,698,4,65,0,0,Safe
CUST047,903,4,27,0,0,Safe
CUST048,56,3,42,0,0,Safe
CUST049,1049,3,1,1,1,High Risk
CUST050,894,1,1,1,1,High Risk
CUST051,676,3,3,1,1,High Risk
CUST052,415,4,40,1,1,High Risk
CUST053,47,4,113,0,0,Safe
CUST054,792,3,27,0,0,Safe
CUST055,344,4,60,0,0,Safe
CUST056,939,4,25,0,0,Safe
CUST057,751,1,14,1,1,High Risk
CUST058,601,4,101,0,0,Safe
CUST059,1049,4,45,0,0,Safe
CUST060,395,4,51,0,0,Safe
CUST061,1023,1,7,1,1,High Risk
CUST062,237,3,23,1,1,High Risk
CUST063,873,3,51,0,0,Safe
CUST064,874,4,53,0,0,Safe
CUST065,175,4,112,0,0,Safe
CUST066,979,3,18,0,0,Safe
CUST067,1052,3,51,1,1,High Risk
CUST068,1080,1,5,1,1,High Risk
CUST069,131,4,19,0,0,Safe
CUST070,923,4,15,0,0,Safe
CUST071,818,4,19,0,0,Safe
CUST072,830,4,52,1,1,High Risk
CUST073,102,3,31,0,0,Safe
CUST074,921,3,57,0,1,High Risk
CUST075,265,1,5,1,1,High Risk
CUST076,173,4,110,0,0,Safe
CUST077,326,3,18,0,0,Safe
CUST078,38,4,119,0,0,Safe
CUST079,131,3,29,0,0,Safe
CUST080,874,4,70,0,0,Safe
CUST081,627,3,55,0,0,Safe
CUST082,525,4,15,0,0,Safe
CUST083,1093,3,46,0,0,Safe
CUST084,991,3,20,0,0,Safe
CUST085,684,1,5,1,1,High Risk
CUST086,926,4,58,0,0,Safe
CUST087,555,3,23,0,0,Safe
CUST088,666,1,3,0,0,Safe
CUST089,313,3,8,1,1,High Risk
CUST090,504,4,23,1,1,High Risk
CUST091,543,4,51,0,0,Safe
CUST092,533,3,51,0,0,Safe
CUST093,815,4,22,0,0,Safe
CUST094,446,1,12,1,1,High Risk
CUST095,350,1,8,0,0,Safe
CUST096,732,3,16,0,0,Safe
CUST097,662,1,11,1,1,High Risk
CUST098,627,3,8,1,1,High Risk
CUST099,294,3,33,0,0,Safe
CUST100,986,3,13,0,1,High Risk
CUST101,758,4,82,0,0,Safe
CUST102,388,1,5,1,1,High Risk
CUST103,425,1,7,1,1,High Risk
CUST104,213,4,82,0,0,Safe
CUST105,821,4,95,0,0,Safe
CUST106,467,3,24,0,0,Safe
CUST107,112,3,17,0,0,Safe
CUST108,415,3,9,1,1,High Risk
CUST109,224,4,54,0,0,Safe
CUST110,246,4,39,0,0,Safe
CUST111,118,3,9,1,1,High Risk
CUST112,637,4,33,0,0,Safe
CUST113,277,3,46,1,1,High Risk
CUST114,122,3,8,1,1,High Risk
CUST115,253,4,15,0,0,Safe
CUST116,959,3,4,1,0,Safe
CUST117,758,4,59,0,0,Safe
CUST118,425,3,28,0,0,Safe
CUST119,414,3,8,1,1,High Risk
CUST120,286,3,51,0,0,Safe
CUST121,429,3,9,1,1,High Risk
CUST122,83,4,58,0,0,Safe
CUST123,522,4,56,0,0,Safe
CUST124,91,4,24,0,0,Safe
CUST125,708,3,58,0,0,Safe
CUST126,423,4,45,1,1,High Risk
CUST127,146,4,113,0,0,Safe
CUST128,155,4,40,0,0,Safe
CUST129,629,4,47,0,0,Safe
CUST130,792,3,49,0,0,Safe
CUST131,693,3,14,1,1,High Risk
CUST132,632,3,44,0,0,Safe
CUST133,843,3,55,0,0,Safe
CUST134,1067,3,13,1,1,High Risk
CUST135,664,3,27,0,0,Safe
CUST136,722,4,101,0,0,Safe
CUST137,82,3,7,1,1,High Risk
CUST138,320,4,34,1,1,High Risk
CUST139,918,4,29,0,0,Safe
CUST140,551,3,2,0,0,Safe
CUST141,162,3,40,0,0,Safe
CUST142,798,3,20,1,1,High Risk
CUST143,154,1,2,1,1,High Risk
CUST144,624,3,2,1,1,High Risk
CUST145,135,1,5,1,1,High Risk
CUST146,694,4,24,0,0,Safe
CUST147,722,1,8,1,1,High Risk
CUST148,66,1,10,1,1,High Risk
CUST149,858,1,12,1,1,High Risk
CUST150,1018,4,65,0,0,Safe
CUST151,586,4,58,0,0,Safe
CUST152,311,3,5,1,1,High Risk
CUST153,561,3,29,1,1,High Risk
CUST154,670,4,77,0,0,Safe
CUST155,435,4,82,0,0,Safe
CUST156,812,4,51,0,0,Safe
CUST157,90,4,35,0,0,Safe
CUST158,350,1,5,1,1,High Risk
CUST159,32,1,11,1,1,High Risk
CUST160,199,1,4,1,1,High Risk
CUST161,568,3,55,1,1,High Risk
CUST162,664,4,82,0,0,Safe
CUST163,236,3,8,1,1,High Risk
CUST164,522,1,11,0,1,High Risk
CUST165,982,4,58,0,0,Safe
CUST166,198,3,33,0,0,Safe
CUST167,689,3,41,0,0,Safe
CUST168,297,1,6,1,1,High Risk
CUST169,1051,4,19,1,0,Safe
CUST170,722,1,7,1,1,High Risk
CUST171,667,4,76,0,0,Safe
CUST172,175,4,99,0,0,Safe
CUST173,1011,1,14,0,0,Safe
CUST174,427,3,24,0,0,Safe
CUST175,652,4,76,0,0,Safe
CUST176,903,3,7,1,1,High Risk
CUST177,865,4,45,0,0,Safe
CUST178,435,1,1,1,1,High Risk
CUST179,1069,3,23,0,0,Safe
CUST180,318,3,8,1,1,High Risk
CUST181,339,4,119,0,0,Safe
